FID,TYPEPIPE,Operator,Status,Shape_Leng,geometry
158,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00240050015624,"LINESTRING (-94.458336 29.669312, -94.458385 29.666912)"
159,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0238180567008,"LINESTRING (-94.458023 29.6931280000001, -94.458336 29.669312)"
160,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0154575734189,"LINESTRING (-93.95856 29.946624, -93.95016 29.9596)"
161,Intrastate,Texas Intrastate Pipeline Co,Operating,0.023296,"LINESTRING (-93.95016 29.966848, -93.926864 29.966848)"
162,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00546565714257,"LINESTRING (-93.926864 29.966848, -93.923376 29.971056)"
163,Intrastate,Texas Intrastate Pipeline Co,Operating,0.012576,"LINESTRING (-93.923376 29.971056, -93.923376 29.9836320000001)"
164,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0101323339858,"LINESTRING (-93.923376 29.9836320000001, -93.9156 29.990128)"
165,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0103088634194,"LINESTRING (-93.95016 29.966848, -93.9503559999999 29.977155)"
166,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0106869472255,"LINESTRING (-93.9503559999999 29.977155, -93.9505599999999 29.9878400000001)"
167,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00721605051257,"LINESTRING (-93.9503559999999 29.977155, -93.9555999999999 29.982112)"
168,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00308799999999,"LINESTRING (-93.9555999999999 29.982112, -93.9586879999999 29.982112)"
169,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0103111527969,"LINESTRING (-93.96104 29.8508800000001, -93.961424 29.8405760000001)"
170,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00905916552445,"LINESTRING (-93.969968 29.8524160000001, -93.96104 29.8508800000001)"
171,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00446454476963,"LINESTRING (-93.971504 29.856608, -93.969968 29.8524160000001)"
173,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00603117235703,"LINESTRING (-93.969568 29.8623200000001, -93.971504 29.856608)"
174,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0185031750789,"LINESTRING (-93.96376 29.879888, -93.969568 29.8623200000001)"
175,Intrastate,Texas Intrastate Pipeline Co,Operating,0.011169421113,"LINESTRING (-93.972272 29.88712, -93.96376 29.879888)"
176,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0215846404649,"LINESTRING (-93.95872 29.90392, -93.972272 29.88712)"
177,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0339923191324,"LINESTRING (-93.9854559999999 29.9249120000001, -93.95872 29.90392)"
178,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0145934034413,"LINESTRING (-93.9441599999999 29.925376, -93.95856 29.923008)"
179,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00816006274487,"LINESTRING (-93.9427199999999 29.933408, -93.9441599999999 29.925376)"
180,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00269304288862,"LINESTRING (-93.968176 29.9296160000001, -93.96624 29.9277440000001)"
181,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00514784925965,"LINESTRING (-93.96528 29.9338720000001, -93.968176 29.9296160000001)"
182,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0220760634172,"LINESTRING (-93.9854559999999 29.9249120000001, -93.96528 29.9338720000001)"
183,Intrastate,Texas Intrastate Pipeline Co,Operating,0.04608,"LINESTRING (-94.031536 29.9249120000001, -93.9854559999999 29.9249120000001)"
184,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0221249224179,"LINESTRING (-94.04928 29.911696, -94.031536 29.9249120000001)"
185,Intrastate,Texas Intrastate Pipeline Co,Operating,0.130576,"LINESTRING (-94.179856 29.911696, -94.04928 29.911696)"
186,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0314108200466,"LINESTRING (-94.210096 29.920192, -94.179856 29.911696)"
187,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0188408067768,"LINESTRING (-94.228336 29.9154720000001, -94.210096 29.920192)"
188,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0148350460735,"LINESTRING (-94.23296 29.901376, -94.228336 29.9154720000001)"
189,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0282817413891,"LINESTRING (-93.9463039999999 29.702432, -93.944768 29.674192)"
190,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00794612257645,"LINESTRING (-93.952512 29.707392, -93.9463039999999 29.702432)"
191,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0287162203642,"LINESTRING (-93.9455359999999 29.7352480000001, -93.952512 29.707392)"
192,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00467038328191,"LINESTRING (-93.942832 29.7390560000001, -93.9455359999999 29.7352480000001)"
193,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00384166630515,"LINESTRING (-93.9432 29.7428800000001, -93.942832 29.7390560000001)"
194,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00583664561195,"LINESTRING (-93.949024 29.7424960000001, -93.9432 29.7428800000001)"
195,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0308563640113,"LINESTRING (-93.955616 29.77264, -93.949024 29.7424960000001)"
196,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00361762795214,"LINESTRING (-93.95368 29.775696, -93.955616 29.77264)"
197,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00497610289287,"LINESTRING (-93.95328 29.7806560000001, -93.95368 29.775696)"
198,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00675861287543,"LINESTRING (-93.959488 29.783328, -93.95328 29.7806560000001)"
199,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0106954824108,"LINESTRING (-93.959888 29.7940160000001, -93.959488 29.783328)"
201,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00299717200042,"LINESTRING (-93.957952 29.7963040000001, -93.959888 29.7940160000001)"
202,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0348570530022,"LINESTRING (-93.96104 29.8310240000001, -93.957952 29.7963040000001)"
203,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00295389640984,"LINESTRING (-93.96376 29.8321760000001, -93.96104 29.8310240000001)"
204,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00532799999996,"LINESTRING (-93.96376 29.837504, -93.96376 29.8321760000001)"
205,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00385928490789,"LINESTRING (-93.961424 29.8405760000001, -93.96376 29.837504)"
206,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0262181079409,"LINESTRING (-93.992848 29.995472, -94.01392 30.0110720000001)"
207,Intrastate,Texas Intrastate Pipeline Co,Operating,0.007955347384,"LINESTRING (-93.985872 29.9916480000001, -93.992848 29.995472)"
209,Intrastate,Texas Intrastate Pipeline Co,Operating,0.018624,"LINESTRING (-93.967248 29.9916480000001, -93.985872 29.9916480000001)"
210,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0128144018979,"LINESTRING (-93.9586879999999 29.982112, -93.967248 29.9916480000001)"
211,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00623831772193,"LINESTRING (-94.179856 29.911696, -94.183488 29.9066240000001)"
